file_name,audio_path,audio_exists,duration_sec,gt_rttm_path,gt_exists,gt_segments,gt_unique_speakers,gt_total_speech_sec,pred_rttm_path,pred_exists,pred_segments,pred_unique_speakers,pred_total_speech_sec
dxokr_dl,classbank_audio_data/audio_tmp/dxokr_dl.wav,True,186.49600,classbank_audio_data/rttm/dxokr.rttm,True,13,4,176.48,diarization_output/pred_rttms/dxokr_dl.rttm,True,33,4,183.59
dxokr_nodl,classbank_audio_data/audio_tmp/dxokr_nodl.wav,True,186.49600,classbank_audio_data/rttm/dxokr.rttm,True,13,4,176.48,diarization_output/pred_rttms/dxokr_nodl.rttm,True,33,4,183.59
dzsef_dl,classbank_audio_data/audio_tmp/dzsef_dl.wav,True,164.73600,classbank_audio_data/rttm/dzsef.rttm,True,3,3,161.68,diarization_output/pred_rttms/dzsef_dl.rttm,True,3,3,164.11
dzsef_nodl,classbank_audio_data/audio_tmp/dzsef_nodl.wav,True,164.73600,classbank_audio_data/rttm/dzsef.rttm,True,3,3,161.68,diarization_output/pred_rttms/dzsef_nodl.rttm,True,3,3,164.11
dzxut_dl,classbank_audio_data/audio_tmp/dzxut_dl.wav,True,183.74400,classbank_audio_data/rttm/dzxut.rttm,True,28,8,161.50,diarization_output/pred_rttms/dzxut_dl.rttm,True,44,8,176.56
dzxut_nodl,classbank_audio_data/audio_tmp/dzxut_nodl.wav,True,183.74400,classbank_audio_data/rttm/dzxut.rttm,True,28,8,161.50,diarization_output/pred_rttms/dzxut_nodl.rttm,True,44,8,176.56
eauve_dl,classbank_audio_data/audio_tmp/eauve_dl.wav,True,1147.45600,classbank_audio_data/rttm/eauve.rttm,True,242,7,1258.51,diarization_output/pred_rttms/eauve_dl.rttm,True,409,7,1137.00
eauve_nodl,classbank_audio_data/audio_tmp/eauve_nodl.wav,True,1147.45600,classbank_audio_data/rttm/eauve.rttm,True,242,7,1258.51,diarization_output/pred_rttms/eauve_nodl.rttm,True,422,7,1137.33
eazeq_dl,classbank_audio_data/audio_tmp/eazeq_dl.wav,True,98.62400,classbank_audio_data/rttm/eazeq.rttm,True,18,2,100.34,diarization_output/pred_rttms/eazeq_dl.rttm,True,7,2,97.74
eddje_dl,classbank_audio_data/audio_tmp/eddje_dl.wav,True,456.96000,classbank_audio_data/rttm/eddje.rttm,True,75,4,489.52,diarization_output/pred_rttms/eddje_dl.rttm,True,63,4,454.05
eddje_nodl,classbank_audio_data/audio_tmp/eddje_nodl.wav,True,456.96000,classbank_audio_data/rttm/eddje.rttm,True,75,4,489.52,diarization_output/pred_rttms/eddje_nodl.rttm,True,63,4,454.05
eguui_dl,classbank_audio_data/audio_tmp/eguui_dl.wav,True,108.80000,classbank_audio_data/rttm/eguui.rttm,True,15,3,125.49,diarization_output/pred_rttms/eguui_dl.rttm,True,12,3,108.74
eguui_nodl,classbank_audio_data/audio_tmp/eguui_nodl.wav,True,108.80000,classbank_audio_data/rttm/eguui.rttm,True,15,3,125.49,diarization_output/pred_rttms/eguui_nodl.rttm,True,12,3,108.74
eoyaz_dl,classbank_audio_data/audio_tmp/eoyaz_dl.wav,True,211.52000,classbank_audio_data/rttm/eoyaz.rttm,True,35,8,211.25,diarization_output/pred_rttms/eoyaz_dl.rttm,True,26,8,210.30
eoyaz_nodl,classbank_audio_data/audio_tmp/eoyaz_nodl.wav,True,211.52000,classbank_audio_data/rttm/eoyaz.rttm,True,35,8,211.25,diarization_output/pred_rttms/eoyaz_nodl.rttm,True,26,8,210.30
epygx_nodl,classbank_audio_data/audio_tmp/epygx_nodl.wav,True,1200.06400,classbank_audio_data/rttm/epygx.rttm,True,201,8,1037.01,diarization_output/pred_rttms/epygx_nodl.rttm,True,85,8,1157.72
eqsta_dl,classbank_audio_data/audio_tmp/eqsta_dl.wav,True,915.90400,classbank_audio_data/rttm/eqsta.rttm,True,280,15,954.10,diarization_output/pred_rttms/eqsta_dl.rttm,True,375,15,907.01
eqsta_nodl,classbank_audio_data/audio_tmp/eqsta_nodl.wav,True,915.90400,classbank_audio_data/rttm/eqsta.rttm,True,280,15,954.10,diarization_output/pred_rttms/eqsta_nodl.rttm,True,372,15,906.21
erslt_dl,classbank_audio_data/audio_tmp/erslt_dl.wav,True,128.57600,classbank_audio_data/rttm/erslt.rttm,True,32,7,114.21,diarization_output/pred_rttms/erslt_dl.rttm,True,16,7,123.97
erslt_nodl,classbank_audio_data/audio_tmp/erslt_nodl.wav,True,128.57600,classbank_audio_data/rttm/erslt.rttm,True,32,7,114.21,diarization_output/pred_rttms/erslt_nodl.rttm,True,16,7,123.97
eucfa_dl,classbank_audio_data/audio_tmp/eucfa_dl.wav,True,84.09600,classbank_audio_data/rttm/eucfa.rttm,True,18,4,79.02,diarization_output/pred_rttms/eucfa_dl.rttm,True,18,4,80.48
