alpha=0.40, onset=0.35, offset=0.10,     | FA: 0.1608 | MISS: 0.0131 | CER: 0.1168 | DER: 0.2908 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.40, offset=0.10,     | FA: 0.1607 | MISS: 0.0136 | CER: 0.1169 | DER: 0.2911 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.45, offset=0.10,     | FA: 0.1607 | MISS: 0.0136 | CER: 0.1169 | DER: 0.2912 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.50, offset=0.10,     | FA: 0.1607 | MISS: 0.0136 | CER: 0.1165 | DER: 0.2909 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.55, offset=0.10,     | FA: 0.1607 | MISS: 0.0137 | CER: 0.1165 | DER: 0.2909 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.60, offset=0.10,     | FA: 0.1607 | MISS: 0.0137 | CER: 0.1166 | DER: 0.2910 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.65, offset=0.10,     | FA: 0.1606 | MISS: 0.0137 | CER: 0.1166 | DER: 0.2909 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.70, offset=0.10,     | FA: 0.1596 | MISS: 0.0156 | CER: 0.1136 | DER: 0.2889 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.75, offset=0.10,     | FA: 0.1587 | MISS: 0.0206 | CER: 0.1131 | DER: 0.2924 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.80, offset=0.10,     | FA: 0.1571 | MISS: 0.0283 | CER: 0.1155 | DER: 0.3009 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.85, offset=0.10,     | FA: 0.1548 | MISS: 0.0400 | CER: 0.1094 | DER: 0.3041 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.90, offset=0.10,     | FA: 0.1519 | MISS: 0.0557 | CER: 0.1057 | DER: 0.3132 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.30, offset=0.15,     | FA: 0.1514 | MISS: 0.0274 | CER: 0.1229 | DER: 0.3017 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.35, offset=0.15,     | FA: 0.1506 | MISS: 0.0286 | CER: 0.1253 | DER: 0.3046 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.40, offset=0.15,     | FA: 0.1503 | MISS: 0.0297 | CER: 0.1276 | DER: 0.3077 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.45, offset=0.15,     | FA: 0.1503 | MISS: 0.0297 | CER: 0.1276 | DER: 0.3076 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.50, offset=0.15,     | FA: 0.1503 | MISS: 0.0298 | CER: 0.1253 | DER: 0.3054 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.55, offset=0.15,     | FA: 0.1503 | MISS: 0.0299 | CER: 0.1156 | DER: 0.2958 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.60, offset=0.15,     | FA: 0.1503 | MISS: 0.0299 | CER: 0.1157 | DER: 0.2959 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.65, offset=0.15,     | FA: 0.1502 | MISS: 0.0300 | CER: 0.1147 | DER: 0.2949 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.70, offset=0.15,     | FA: 0.1493 | MISS: 0.0320 | CER: 0.1142 | DER: 0.2955 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.75, offset=0.15,     | FA: 0.1478 | MISS: 0.0387 | CER: 0.1117 | DER: 0.2982 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.80, offset=0.15,     | FA: 0.1452 | MISS: 0.0510 | CER: 0.1082 | DER: 0.3044 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.85, offset=0.15,     | FA: 0.1412 | MISS: 0.0668 | CER: 0.1133 | DER: 0.3213 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.90, offset=0.15,     | FA: 0.1363 | MISS: 0.0930 | CER: 0.0995 | DER: 0.3288 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.30, offset=0.20,     | FA: 0.1394 | MISS: 0.0493 | CER: 0.1050 | DER: 0.2936 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.35, offset=0.20,     | FA: 0.1365 | MISS: 0.0540 | CER: 0.1076 | DER: 0.2982 | Spk. Count Acc. 1.0000
