alpha=0.20, onset=0.55, offset=0.35,     | FA: 0.0538 | MISS: 0.1705 | CER: 0.4077 | DER: 0.6321 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.60, offset=0.35,     | FA: 0.0538 | MISS: 0.1709 | CER: 0.4794 | DER: 0.7041 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.65, offset=0.35,     | FA: 0.0537 | MISS: 0.1716 | CER: 0.5031 | DER: 0.7283 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.70, offset=0.35,     | FA: 0.0536 | MISS: 0.1721 | CER: 0.4831 | DER: 0.7089 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.75, offset=0.35,     | FA: 0.0536 | MISS: 0.1724 | CER: 0.4262 | DER: 0.6523 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.80, offset=0.35,     | FA: 0.0533 | MISS: 0.1732 | CER: 0.4359 | DER: 0.6624 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.85, offset=0.35,     | FA: 0.0529 | MISS: 0.1733 | CER: 0.4308 | DER: 0.6570 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.90, offset=0.35,     | FA: 0.0474 | MISS: 0.1828 | CER: 0.4375 | DER: 0.6677 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.45, offset=0.40,     | FA: 0.0539 | MISS: 0.1698 | CER: 0.5097 | DER: 0.7333 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.50, offset=0.40,     | FA: 0.0538 | MISS: 0.1705 | CER: 0.4023 | DER: 0.6266 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.55, offset=0.40,     | FA: 0.0538 | MISS: 0.1711 | CER: 0.4088 | DER: 0.6337 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.60, offset=0.40,     | FA: 0.0538 | MISS: 0.1715 | CER: 0.4331 | DER: 0.6584 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.65, offset=0.40,     | FA: 0.0536 | MISS: 0.1722 | CER: 0.4811 | DER: 0.7070 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.70, offset=0.40,     | FA: 0.0536 | MISS: 0.1727 | CER: 0.4241 | DER: 0.6504 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.75, offset=0.40,     | FA: 0.0535 | MISS: 0.1730 | CER: 0.4267 | DER: 0.6533 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.80, offset=0.40,     | FA: 0.0533 | MISS: 0.1737 | CER: 0.4381 | DER: 0.6651 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.85, offset=0.40,     | FA: 0.0528 | MISS: 0.1739 | CER: 0.4211 | DER: 0.6478 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.90, offset=0.40,     | FA: 0.0473 | MISS: 0.1835 | CER: 0.4907 | DER: 0.7215 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.50, offset=0.45,     | FA: 0.0538 | MISS: 0.1716 | CER: 0.4926 | DER: 0.7180 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.55, offset=0.45,     | FA: 0.0538 | MISS: 0.1721 | CER: 0.4133 | DER: 0.6391 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.60, offset=0.45,     | FA: 0.0537 | MISS: 0.1725 | CER: 0.4099 | DER: 0.6361 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.65, offset=0.45,     | FA: 0.0536 | MISS: 0.1730 | CER: 0.4027 | DER: 0.6293 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.70, offset=0.45,     | FA: 0.0536 | MISS: 0.1736 | CER: 0.4839 | DER: 0.7110 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.75, offset=0.45,     | FA: 0.0535 | MISS: 0.1738 | CER: 0.4383 | DER: 0.6656 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.80, offset=0.45,     | FA: 0.0532 | MISS: 0.1744 | CER: 0.4385 | DER: 0.6662 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.85, offset=0.45,     | FA: 0.0528 | MISS: 0.1747 | CER: 0.4244 | DER: 0.6520 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.90, offset=0.45,     | FA: 0.0471 | MISS: 0.1841 | CER: 0.4699 | DER: 0.7010 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.55, offset=0.50,     | FA: 0.0537 | MISS: 0.1725 | CER: 0.4076 | DER: 0.6338 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.60, offset=0.50,     | FA: 0.0537 | MISS: 0.1729 | CER: 0.4757 | DER: 0.7023 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.65, offset=0.50,     | FA: 0.0535 | MISS: 0.1735 | CER: 0.4328 | DER: 0.6599 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.70, offset=0.50,     | FA: 0.0535 | MISS: 0.1741 | CER: 0.4640 | DER: 0.6916 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.75, offset=0.50,     | FA: 0.0535 | MISS: 0.1743 | CER: 0.4490 | DER: 0.6768 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.80, offset=0.50,     | FA: 0.0532 | MISS: 0.1749 | CER: 0.4662 | DER: 0.6943 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.85, offset=0.50,     | FA: 0.0528 | MISS: 0.1752 | CER: 0.4355 | DER: 0.6634 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.90, offset=0.50,     | FA: 0.0471 | MISS: 0.1844 | CER: 0.4328 | DER: 0.6643 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.60, offset=0.55,     | FA: 0.0537 | MISS: 0.1734 | CER: 0.4369 | DER: 0.6639 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.65, offset=0.55,     | FA: 0.0535 | MISS: 0.1738 | CER: 0.4284 | DER: 0.6557 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.70, offset=0.55,     | FA: 0.0535 | MISS: 0.1744 | CER: 0.4214 | DER: 0.6492 | Spk. Count Acc. 0.7500
