alpha=0.20, onset=0.65, offset=0.40,     | FA: 0.0905 | MISS: 0.2281 | CER: 0.2009 | DER: 0.5194 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.70, offset=0.40,     | FA: 0.0904 | MISS: 0.2284 | CER: 0.1940 | DER: 0.5127 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.75, offset=0.40,     | FA: 0.0904 | MISS: 0.2287 | CER: 0.1940 | DER: 0.5130 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.80, offset=0.40,     | FA: 0.0902 | MISS: 0.2290 | CER: 0.1944 | DER: 0.5136 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.85, offset=0.40,     | FA: 0.0891 | MISS: 0.2315 | CER: 0.1981 | DER: 0.5188 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.90, offset=0.40,     | FA: 0.0843 | MISS: 0.2541 | CER: 0.1776 | DER: 0.5160 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.50, offset=0.45,     | FA: 0.0906 | MISS: 0.2273 | CER: 0.1914 | DER: 0.5093 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.55, offset=0.45,     | FA: 0.0905 | MISS: 0.2278 | CER: 0.1949 | DER: 0.5132 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.60, offset=0.45,     | FA: 0.0905 | MISS: 0.2281 | CER: 0.1966 | DER: 0.5151 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.65, offset=0.45,     | FA: 0.0904 | MISS: 0.2284 | CER: 0.2033 | DER: 0.5221 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.70, offset=0.45,     | FA: 0.0903 | MISS: 0.2287 | CER: 0.2030 | DER: 0.5220 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.75, offset=0.45,     | FA: 0.0903 | MISS: 0.2291 | CER: 0.1946 | DER: 0.5140 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.80, offset=0.45,     | FA: 0.0901 | MISS: 0.2294 | CER: 0.1956 | DER: 0.5152 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.85, offset=0.45,     | FA: 0.0890 | MISS: 0.2319 | CER: 0.1949 | DER: 0.5157 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.90, offset=0.45,     | FA: 0.0842 | MISS: 0.2544 | CER: 0.1783 | DER: 0.5169 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.55, offset=0.50,     | FA: 0.0904 | MISS: 0.2281 | CER: 0.1948 | DER: 0.5133 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.60, offset=0.50,     | FA: 0.0904 | MISS: 0.2284 | CER: 0.2017 | DER: 0.5204 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.65, offset=0.50,     | FA: 0.0903 | MISS: 0.2287 | CER: 0.2005 | DER: 0.5195 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.70, offset=0.50,     | FA: 0.0902 | MISS: 0.2290 | CER: 0.1951 | DER: 0.5144 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.75, offset=0.50,     | FA: 0.0902 | MISS: 0.2293 | CER: 0.1938 | DER: 0.5133 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.80, offset=0.50,     | FA: 0.0901 | MISS: 0.2297 | CER: 0.1964 | DER: 0.5161 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.85, offset=0.50,     | FA: 0.0889 | MISS: 0.2321 | CER: 0.2007 | DER: 0.5217 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.90, offset=0.50,     | FA: 0.0841 | MISS: 0.2548 | CER: 0.1878 | DER: 0.5266 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.60, offset=0.55,     | FA: 0.0903 | MISS: 0.2287 | CER: 0.1930 | DER: 0.5120 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.65, offset=0.55,     | FA: 0.0902 | MISS: 0.2290 | CER: 0.1968 | DER: 0.5160 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.70, offset=0.55,     | FA: 0.0902 | MISS: 0.2293 | CER: 0.1915 | DER: 0.5110 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.75, offset=0.55,     | FA: 0.0901 | MISS: 0.2297 | CER: 0.1969 | DER: 0.5166 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.80, offset=0.55,     | FA: 0.0900 | MISS: 0.2300 | CER: 0.1909 | DER: 0.5109 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.85, offset=0.55,     | FA: 0.0888 | MISS: 0.2324 | CER: 0.1935 | DER: 0.5147 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.90, offset=0.55,     | FA: 0.0840 | MISS: 0.2550 | CER: 0.1853 | DER: 0.5242 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.65, offset=0.60,     | FA: 0.0902 | MISS: 0.2294 | CER: 0.1986 | DER: 0.5182 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.70, offset=0.60,     | FA: 0.0901 | MISS: 0.2297 | CER: 0.1961 | DER: 0.5159 | Spk. Count Acc. 1.0000
