alpha=0.10, onset=0.65, offset=0.55,     | FA: 0.0535 | MISS: 0.1747 | CER: 0.0470 | DER: 0.2752 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.70, offset=0.55,     | FA: 0.0535 | MISS: 0.1748 | CER: 0.0434 | DER: 0.2717 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.75, offset=0.55,     | FA: 0.0535 | MISS: 0.1751 | CER: 0.0417 | DER: 0.2703 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.80, offset=0.55,     | FA: 0.0534 | MISS: 0.1755 | CER: 0.0427 | DER: 0.2717 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.85, offset=0.55,     | FA: 0.0531 | MISS: 0.1757 | CER: 0.0434 | DER: 0.2721 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.90, offset=0.55,     | FA: 0.0528 | MISS: 0.1759 | CER: 0.0498 | DER: 0.2784 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.65, offset=0.60,     | FA: 0.0535 | MISS: 0.1748 | CER: 0.0439 | DER: 0.2721 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.70, offset=0.60,     | FA: 0.0534 | MISS: 0.1751 | CER: 0.0477 | DER: 0.2762 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.75, offset=0.60,     | FA: 0.0534 | MISS: 0.1754 | CER: 0.0444 | DER: 0.2732 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.80, offset=0.60,     | FA: 0.0534 | MISS: 0.1758 | CER: 0.0456 | DER: 0.2748 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.85, offset=0.60,     | FA: 0.0530 | MISS: 0.1760 | CER: 0.0454 | DER: 0.2744 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.90, offset=0.60,     | FA: 0.0527 | MISS: 0.1761 | CER: 0.0455 | DER: 0.2744 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.70, offset=0.65,     | FA: 0.0534 | MISS: 0.1757 | CER: 0.0470 | DER: 0.2761 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.75, offset=0.65,     | FA: 0.0534 | MISS: 0.1761 | CER: 0.0461 | DER: 0.2755 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.80, offset=0.65,     | FA: 0.0533 | MISS: 0.1765 | CER: 0.0447 | DER: 0.2745 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.85, offset=0.65,     | FA: 0.0530 | MISS: 0.1766 | CER: 0.0456 | DER: 0.2752 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.90, offset=0.65,     | FA: 0.0527 | MISS: 0.1768 | CER: 0.0464 | DER: 0.2759 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.75, offset=0.70,     | FA: 0.0533 | MISS: 0.1762 | CER: 0.0464 | DER: 0.2760 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.80, offset=0.70,     | FA: 0.0533 | MISS: 0.1766 | CER: 0.0454 | DER: 0.2754 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.85, offset=0.70,     | FA: 0.0530 | MISS: 0.1768 | CER: 0.0455 | DER: 0.2753 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.90, offset=0.70,     | FA: 0.0526 | MISS: 0.1770 | CER: 0.0450 | DER: 0.2746 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.80, offset=0.75,     | FA: 0.0533 | MISS: 0.1768 | CER: 0.0412 | DER: 0.2713 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.85, offset=0.75,     | FA: 0.0529 | MISS: 0.1769 | CER: 0.0457 | DER: 0.2755 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.90, offset=0.75,     | FA: 0.0526 | MISS: 0.1771 | CER: 0.0445 | DER: 0.2742 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.85, offset=0.80,     | FA: 0.0529 | MISS: 0.1770 | CER: 0.0452 | DER: 0.2751 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.90, offset=0.80,     | FA: 0.0526 | MISS: 0.1772 | CER: 0.0456 | DER: 0.2753 | Spk. Count Acc. 1.0000
alpha=0.30, onset=0.30, offset=0.10,     | FA: 0.0594 | MISS: 0.1320 | CER: 0.0450 | DER: 0.2363 | Spk. Count Acc. 1.0000
alpha=0.30, onset=0.35, offset=0.10,     | FA: 0.0582 | MISS: 0.1419 | CER: 0.0413 | DER: 0.2413 | Spk. Count Acc. 1.0000
alpha=0.30, onset=0.40, offset=0.10,     | FA: 0.0581 | MISS: 0.1423 | CER: 0.0404 | DER: 0.2408 | Spk. Count Acc. 1.0000
alpha=0.30, onset=0.45, offset=0.10,     | FA: 0.0581 | MISS: 0.1426 | CER: 0.0406 | DER: 0.2413 | Spk. Count Acc. 1.0000
alpha=0.30, onset=0.50, offset=0.10,     | FA: 0.0580 | MISS: 0.1431 | CER: 0.0389 | DER: 0.2401 | Spk. Count Acc. 1.0000
alpha=0.30, onset=0.55, offset=0.10,     | FA: 0.0580 | MISS: 0.1437 | CER: 0.0411 | DER: 0.2428 | Spk. Count Acc. 1.0000
alpha=0.30, onset=0.60, offset=0.10,     | FA: 0.0580 | MISS: 0.1438 | CER: 0.0415 | DER: 0.2433 | Spk. Count Acc. 1.0000
alpha=0.30, onset=0.65, offset=0.10,     | FA: 0.0579 | MISS: 0.1442 | CER: 0.0442 | DER: 0.2463 | Spk. Count Acc. 1.0000
alpha=0.30, onset=0.70, offset=0.10,     | FA: 0.0578 | MISS: 0.1445 | CER: 0.0404 | DER: 0.2427 | Spk. Count Acc. 1.0000
alpha=0.30, onset=0.75, offset=0.10,     | FA: 0.0572 | MISS: 0.1482 | CER: 0.0417 | DER: 0.2471 | Spk. Count Acc. 1.0000
alpha=0.30, onset=0.80, offset=0.10,     | FA: 0.0565 | MISS: 0.1535 | CER: 0.0424 | DER: 0.2524 | Spk. Count Acc. 1.0000
alpha=0.30, onset=0.85, offset=0.10,     | FA: 0.0554 | MISS: 0.1600 | CER: 0.0419 | DER: 0.2572 | Spk. Count Acc. 1.0000
alpha=0.30, onset=0.90, offset=0.10,     | FA: 0.0520 | MISS: 0.1707 | CER: 0.0364 | DER: 0.2591 | Spk. Count Acc. 1.0000
alpha=0.30, onset=0.30, offset=0.15,     | FA: 0.0573 | MISS: 0.1437 | CER: 0.0412 | DER: 0.2423 | Spk. Count Acc. 1.0000
alpha=0.30, onset=0.35, offset=0.15,     | FA: 0.0566 | MISS: 0.1512 | CER: 0.0410 | DER: 0.2487 | Spk. Count Acc. 1.0000
alpha=0.30, onset=0.40, offset=0.15,     | FA: 0.0566 | MISS: 0.1515 | CER: 0.0413 | DER: 0.2493 | Spk. Count Acc. 1.0000
alpha=0.30, onset=0.45, offset=0.15,     | FA: 0.0565 | MISS: 0.1518 | CER: 0.0418 | DER: 0.2501 | Spk. Count Acc. 1.0000
alpha=0.30, onset=0.50, offset=0.15,     | FA: 0.0565 | MISS: 0.1523 | CER: 0.0419 | DER: 0.2506 | Spk. Count Acc. 1.0000
alpha=0.30, onset=0.55, offset=0.15,     | FA: 0.0564 | MISS: 0.1529 | CER: 0.0421 | DER: 0.2514 | Spk. Count Acc. 1.0000
alpha=0.30, onset=0.60, offset=0.15,     | FA: 0.0564 | MISS: 0.1530 | CER: 0.0419 | DER: 0.2513 | Spk. Count Acc. 1.0000
