alpha=0.20, onset=0.45, offset=0.40,     | FA: 0.0539 | MISS: 0.1713 | CER: 0.4387 | DER: 0.6638 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.50, offset=0.40,     | FA: 0.0539 | MISS: 0.1718 | CER: 0.4890 | DER: 0.7146 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.55, offset=0.40,     | FA: 0.0538 | MISS: 0.1721 | CER: 0.5034 | DER: 0.7292 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.60, offset=0.40,     | FA: 0.0537 | MISS: 0.1725 | CER: 0.4410 | DER: 0.6672 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.65, offset=0.40,     | FA: 0.0536 | MISS: 0.1732 | CER: 0.3152 | DER: 0.5420 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.70, offset=0.40,     | FA: 0.0536 | MISS: 0.1736 | CER: 0.4564 | DER: 0.6836 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.75, offset=0.40,     | FA: 0.0535 | MISS: 0.1738 | CER: 0.5101 | DER: 0.7374 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.80, offset=0.40,     | FA: 0.0534 | MISS: 0.1743 | CER: 0.4232 | DER: 0.6508 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.85, offset=0.40,     | FA: 0.0518 | MISS: 0.1820 | CER: 0.4369 | DER: 0.6708 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.90, offset=0.40,     | FA: 0.0501 | MISS: 0.1934 | CER: 0.4507 | DER: 0.6943 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.50, offset=0.45,     | FA: 0.0538 | MISS: 0.1725 | CER: 0.4346 | DER: 0.6609 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.55, offset=0.45,     | FA: 0.0538 | MISS: 0.1728 | CER: 0.4921 | DER: 0.7187 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.60, offset=0.45,     | FA: 0.0536 | MISS: 0.1733 | CER: 0.4336 | DER: 0.6605 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.65, offset=0.45,     | FA: 0.0536 | MISS: 0.1737 | CER: 0.4072 | DER: 0.6345 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.70, offset=0.45,     | FA: 0.0535 | MISS: 0.1742 | CER: 0.4986 | DER: 0.7263 | Spk. Count Acc. 0.7500
