alpha=0.20, onset=0.75, offset=0.40,     | FA: 0.0535 | MISS: 0.1730 | CER: 0.0427 | DER: 0.2693 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.80, offset=0.40,     | FA: 0.0533 | MISS: 0.1737 | CER: 0.0459 | DER: 0.2729 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.85, offset=0.40,     | FA: 0.0528 | MISS: 0.1739 | CER: 0.0461 | DER: 0.2729 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.90, offset=0.40,     | FA: 0.0473 | MISS: 0.1835 | CER: 0.0450 | DER: 0.2758 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.50, offset=0.45,     | FA: 0.0538 | MISS: 0.1716 | CER: 0.0450 | DER: 0.2704 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.55, offset=0.45,     | FA: 0.0538 | MISS: 0.1721 | CER: 0.0452 | DER: 0.2710 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.60, offset=0.45,     | FA: 0.0537 | MISS: 0.1725 | CER: 0.0472 | DER: 0.2735 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.65, offset=0.45,     | FA: 0.0536 | MISS: 0.1730 | CER: 0.0455 | DER: 0.2721 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.70, offset=0.45,     | FA: 0.0536 | MISS: 0.1736 | CER: 0.0455 | DER: 0.2726 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.75, offset=0.45,     | FA: 0.0535 | MISS: 0.1738 | CER: 0.0459 | DER: 0.2733 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.80, offset=0.45,     | FA: 0.0532 | MISS: 0.1744 | CER: 0.0516 | DER: 0.2793 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.85, offset=0.45,     | FA: 0.0528 | MISS: 0.1747 | CER: 0.0434 | DER: 0.2710 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.90, offset=0.45,     | FA: 0.0471 | MISS: 0.1841 | CER: 0.0466 | DER: 0.2777 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.55, offset=0.50,     | FA: 0.0537 | MISS: 0.1725 | CER: 0.0461 | DER: 0.2723 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.60, offset=0.50,     | FA: 0.0537 | MISS: 0.1729 | CER: 0.0424 | DER: 0.2691 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.65, offset=0.50,     | FA: 0.0535 | MISS: 0.1735 | CER: 0.0437 | DER: 0.2708 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.70, offset=0.50,     | FA: 0.0535 | MISS: 0.1741 | CER: 0.0475 | DER: 0.2751 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.75, offset=0.50,     | FA: 0.0535 | MISS: 0.1743 | CER: 0.0451 | DER: 0.2729 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.80, offset=0.50,     | FA: 0.0532 | MISS: 0.1749 | CER: 0.0428 | DER: 0.2710 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.85, offset=0.50,     | FA: 0.0528 | MISS: 0.1752 | CER: 0.0463 | DER: 0.2743 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.90, offset=0.50,     | FA: 0.0471 | MISS: 0.1844 | CER: 0.0473 | DER: 0.2788 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.60, offset=0.55,     | FA: 0.0537 | MISS: 0.1734 | CER: 0.0426 | DER: 0.2697 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.65, offset=0.55,     | FA: 0.0535 | MISS: 0.1738 | CER: 0.0475 | DER: 0.2749 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.70, offset=0.55,     | FA: 0.0535 | MISS: 0.1744 | CER: 0.0458 | DER: 0.2736 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.75, offset=0.55,     | FA: 0.0535 | MISS: 0.1746 | CER: 0.0442 | DER: 0.2723 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.80, offset=0.55,     | FA: 0.0532 | MISS: 0.1751 | CER: 0.0460 | DER: 0.2743 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.85, offset=0.55,     | FA: 0.0527 | MISS: 0.1754 | CER: 0.0444 | DER: 0.2725 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.90, offset=0.55,     | FA: 0.0470 | MISS: 0.1846 | CER: 0.0445 | DER: 0.2762 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.65, offset=0.60,     | FA: 0.0535 | MISS: 0.1740 | CER: 0.0452 | DER: 0.2727 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.70, offset=0.60,     | FA: 0.0534 | MISS: 0.1745 | CER: 0.0474 | DER: 0.2754 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.75, offset=0.60,     | FA: 0.0534 | MISS: 0.1748 | CER: 0.0451 | DER: 0.2733 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.80, offset=0.60,     | FA: 0.0531 | MISS: 0.1754 | CER: 0.0464 | DER: 0.2749 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.85, offset=0.60,     | FA: 0.0527 | MISS: 0.1757 | CER: 0.0469 | DER: 0.2753 | Spk. Count Acc. 1.0000
